class_id,class_name,GT,Pred,TP,FP,FN,Precision,Recall,F1
4,Consolidation,26,73,3,70,23,0.0411,0.1154,0.0606
9,Other lesion,252,121,31,90,221,0.2562,0.123,0.1662
1,Atelectasis,13,28,3,25,10,0.1071,0.2308,0.1463
12,Pneumothorax,25,9,6,3,19,0.6667,0.24,0.3529
5,ILD,122,132,35,97,87,0.2652,0.2869,0.2756
6,Infiltration,74,100,22,78,52,0.22,0.2973,0.2529
7,Lung Opacity,248,295,74,221,174,0.2508,0.2984,0.2726
8,Nodule/Mass,350,444,115,329,235,0.259,0.3286,0.2897
13,Pulmonary fibrosis,581,644,198,446,383,0.3075,0.3408,0.3233
2,Calcification,78,368,27,341,51,0.0734,0.3462,0.1211
11,Pleural thickening,793,1234,290,944,503,0.235,0.3657,0.2861
10,Pleural effusion,119,239,82,157,37,0.3431,0.6891,0.4581
0,Aortic enlargement,802,873,711,162,91,0.8144,0.8865,0.849
3,Cardiomegaly,579,691,535,156,44,0.7742,0.924,0.8425
