class_id,class_name,threshold,TP,FP,FN,Precision,Recall,F1,F2
0,Aortic enlargement,0.13,433,218,26,0.6651305683563749,0.9433551198257081,0.7801801801796953,0.8705267390427822
1,Atelectasis,0.39,1,1,6,0.5,0.14285714285714285,0.22222222222187657,0.16666666666658886
2,Calcification,0.03,20,160,34,0.1111111111111111,0.37037037037037035,0.1709401709398159,0.2525252525249426
3,Cardiomegaly,0.3,317,74,28,0.8107416879795396,0.9188405797101449,0.8614130434777628,0.8949745906265495
4,Consolidation,0.46,2,2,9,0.5,0.18181818181818182,0.26666666666627553,0.20833333333323786
5,ILD,0.12,18,43,48,0.29508196721311475,0.2727272727272727,0.28346456692863464,0.2769230769228863
6,Infiltration,0.04,13,91,19,0.125,0.40625,0.19117647058787543,0.2801724137927943
7,Lung Opacity,0.07,47,302,81,0.1346704871060172,0.3671875,0.19706498951742707,0.2729384436698497
8,Nodule/Mass,0.11,68,212,133,0.24285714285714285,0.3383084577114428,0.2827442827437962,0.31365313653112586
9,Other lesion,0.04,26,320,112,0.07514450867052024,0.18840579710144928,0.10743801652851798,0.14476614699302245
10,Pleural effusion,0.13,44,43,30,0.5057471264367817,0.5945945945945946,0.5465838509311803,0.5744125326368562
11,Pleural thickening,0.03,255,1775,274,0.12561576354679804,0.4820415879017013,0.19929660023413867,0.3075253256147383
12,Pneumothorax,0.32,5,8,8,0.38461538461538464,0.38461538461538464,0.38461538461488465,0.38461538461518463
13,Pulmonary fibrosis,0.07,159,585,258,0.21370967741935484,0.381294964028777,0.2739018087850694,0.32960199004948465
