class_id,class_name,GT,Pred_base,TP_base,FP_base,FN_base,Precision_base,Recall_base,F1_base,Pred_filtered,TP_filtered,FP_filtered,FN_filtered,Precision_filtered,Recall_filtered,F1_filtered
1,Atelectasis,13,16,0,16,13,0.0,0.0,0.0,29,0,29,13,0.0,0.0,0.0
4,Consolidation,26,30,3,27,23,0.1,0.1154,0.1071,34,3,31,23,0.0882,0.1154,0.1
9,Other lesion,252,836,64,772,188,0.0766,0.254,0.1176,260,43,217,209,0.1654,0.1706,0.168
2,Calcification,78,265,20,245,58,0.0755,0.2564,0.1166,597,30,567,48,0.0503,0.3846,0.0889
12,Pneumothorax,25,56,7,49,18,0.125,0.28,0.1728,16,6,10,19,0.375,0.24,0.2927
6,Infiltration,74,146,23,123,51,0.1575,0.3108,0.2091,121,23,98,51,0.1901,0.3108,0.2359
8,Nodule/Mass,350,848,139,709,211,0.1639,0.3971,0.2321,408,116,292,234,0.2843,0.3314,0.3061
7,Lung Opacity,248,850,113,737,135,0.1329,0.4556,0.2058,436,91,345,157,0.2087,0.3669,0.2661
13,Pulmonary fibrosis,581,1639,270,1369,311,0.1647,0.4647,0.2432,908,219,689,362,0.2412,0.3769,0.2942
11,Pleural thickening,793,2472,377,2095,416,0.1525,0.4754,0.2309,1702,325,1377,468,0.191,0.4098,0.2605
5,ILD,122,482,71,411,51,0.1473,0.582,0.2351,242,57,185,65,0.2355,0.4672,0.3132
10,Pleural effusion,119,343,86,257,33,0.2507,0.7227,0.3723,251,74,177,45,0.2948,0.6218,0.4
0,Aortic enlargement,802,1338,771,567,31,0.5762,0.9613,0.7206,865,712,153,90,0.8231,0.8878,0.8542
3,Cardiomegaly,579,943,562,381,17,0.596,0.9706,0.7385,726,540,186,39,0.7438,0.9326,0.8276
